,id,id_str,name,screen_name,location,description,url,protected,followers_count,fast_followers_count,normal_followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,media_count,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,has_custom_timelines,translator_type,require_some_consent,profile_banner_url
804,2232837163,2232837163,Julian Faraway,JulianFaraway,"Bath, England",Professor of Statistics,http://t.co/iAo4HJBgn5,False,270,0,270,54,5,Fri Dec 06 11:26:52 +0000 2013,82,False,False,34,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000836170872/b768df77e1281c0ba5cce76c81293f59_normal.jpeg,https://pbs.twimg.com/profile_images/378800000836170872/b768df77e1281c0ba5cce76c81293f59_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,https://pbs.twimg.com/profile_banners/2232837163/1525433123
805,3354721047,3354721047,Michael Höhle,m_hoehle,"Berlin, Stockholm, ...","Questions, data, visualizations, uncertainty and models. In that order. Working as Professor in mathematical statistics at @Stockholm_Uni.",http://t.co/yYhFLjdR2j,False,516,0,516,353,31,Thu Jul 02 09:37:07 +0000 2015,3170,False,False,1076,121,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/667294640186355712/q90bMOGc_normal.png,https://pbs.twimg.com/profile_images/667294640186355712/q90bMOGc_normal.png,3B94D9,000000,000000,000000,False,False,False,False,False,,False,https://pbs.twimg.com/profile_banners/3354721047/1447862425
806,183799170,183799170,Volker Schmid,vjsstat,,,,False,46,0,46,97,4,Fri Aug 27 22:50:34 +0000 2010,106,False,False,292,5,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/423860447914127360/y2N01ihP_normal.png,https://pbs.twimg.com/profile_images/423860447914127360/y2N01ihP_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,True,,False,
807,3437690770,3437690770,Helmut Küchenhoff,HKuechenhoff,"München, Bayern",Statistisches Beratungslabor  StaBLab LMU,https://t.co/oOLnIQouI0,False,65,0,65,42,0,Mon Aug 24 06:35:12 +0000 2015,9,False,False,24,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/892776183842164737/t5iVADLW_normal.jpg,https://pbs.twimg.com/profile_images/892776183842164737/t5iVADLW_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,
808,889777924991307778,889777924991307778,Sebastian Meyer,bastistician,"Erlangen, Germany",,https://t.co/qDMmvLwvMC,False,121,0,121,47,1,Tue Jul 25 09:22:43 +0000 2017,800,False,False,207,7,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/889797470611529728/YI7buCdV_normal.jpg,https://pbs.twimg.com/profile_images/889797470611529728/YI7buCdV_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,True,,False,
809,371974097,371974097,The R-Podcast (Eric),theRcast,,Creator and host of the R-Podcast and Shiny Developer Series.  Every day I get to use #rstats and #linux is a good day!  Member of the @rweekly_org team.,https://t.co/AzucyXnclS,False,2059,0,2059,131,61,Sun Sep 11 21:44:25 +0000 2011,1424,False,False,400,89,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1085782903223513088/d5x_ASHr_normal.jpg,https://pbs.twimg.com/profile_images/1085782903223513088/d5x_ASHr_normal.jpg,1B95E0,C0DEED,DDEEF6,333333,True,False,False,False,False,,False,https://pbs.twimg.com/profile_banners/371974097/1472957688
810,500162083,500162083,Dirk Schumacher🚲,dirk_sch,"Berlin, Germany","R, data science, operations research, infectious disease epi., global health #rstats.",https://t.co/xA2HHn1I6H,False,1181,0,1181,72,95,Wed Feb 22 21:27:51 +0000 2012,4945,False,False,3651,264,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895015167154679808/HBE72wTL_normal.jpg,https://pbs.twimg.com/profile_images/895015167154679808/HBE72wTL_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,
811,386244145,386244145,JSS,jstatsoft,"Los Angeles, CA",,http://t.co/l9e6cYkl0G,False,1240,0,1240,0,56,Thu Oct 06 22:35:23 +0000 2011,3,False,False,156,4,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1575960081/jsslogo_copy_normal.jpg,https://pbs.twimg.com/profile_images/1575960081/jsslogo_copy_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,
812,2674229360,2674229360,FOAS,foastat,California,"The mission of the Foundation for Open Access Statistics (FOAS) is to promote free software, open access publishing, and reproducible research in statistics.",http://t.co/PDl8F2MyXd,False,100,0,100,24,2,Wed Jul 23 15:47:24 +0000 2014,13,False,False,17,1,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/491979768716226562/2ycmKwZX_normal.jpeg,https://pbs.twimg.com/profile_images/491979768716226562/2ycmKwZX_normal.jpeg,0A0A0A,000000,000000,000000,False,False,False,False,False,,False,https://pbs.twimg.com/profile_banners/2674229360/1406429754
813,560431626,560431626,antuki,antuki13,Paris,Statistician and 👯#RLadies 💜 #RStats #RStatsFR 🇫🇷  Interested in  #statistics 🔢  #dataviz 📊 and #SpatialAnalysis 🌍⏩ #COGugaison & #CARTElette 📦  !,https://t.co/yXZs4z3byf,False,480,0,480,226,19,Sun Apr 22 14:57:40 +0000 2012,792,False,False,784,52,False,False,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1046390057492451328/c-fuJPJf_normal.jpg,https://pbs.twimg.com/profile_images/1046390057492451328/c-fuJPJf_normal.jpg,2AA198,000000,000000,000000,False,True,False,False,True,,False,https://pbs.twimg.com/profile_banners/560431626/1563203413
